year,label,delta_g,delta_s_primary
2026,05pp,0.0003600000000000003,6.193868070610096e-05
2027,05pp,0.00038999999999999923,0.00023742395014097047
2028,05pp,0.0019500000000000006,0.0005411101301512261
2029,05pp,0.003460000000000001,0.001066243814418897
2030,05pp,0.004170000000000003,0.0018092191515024386
2031,05pp,0.005239999999999998,0.0027386246576719176
2032,05pp,0.0053999999999999986,0.003755958973371214
2033,05pp,0.00633,0.0047976011994002995
2034,05pp,0.00631,0.005832707348327516
2035,05pp,0.006279999999999999,0.006897135361570685
2036,05pp,0.006339999999999999,0.00798136331408893
2026,10pp,0.0007200000000000006,0.00012381677593497142
2027,10pp,0.0007799999999999985,0.00047423566548601746
2028,10pp,0.003900000000000001,0.0010788068396353633
2029,10pp,0.006920000000000002,0.002119375164727076
2030,10pp,0.008340000000000005,0.003581299388843474
2031,10pp,0.010479999999999996,0.005392409071120434
2032,10pp,0.010799999999999997,0.007355437365621818
2033,10pp,0.01266,0.009343149629642939
2034,10pp,0.01262,0.011294745804044716
2035,10pp,0.012559999999999998,0.01327872491654973
2036,10pp,0.012679999999999999,0.015276261890960834
